Experiment,Specification,Model,Serial Number,Size of Train Set,R^2 Score,MAE Score
02 Sparsity Simulation,0.9164955262571346,BERT,0.0,1007.0,0.6850439543397189,0.11638873176897985
02 Sparsity Simulation,0.9164955262571346,BERT,1.0,1007.0,0.6435993878859408,0.1192549595002106
02 Sparsity Simulation,0.9164955262571346,BERT,2.0,1007.0,0.6014687432281742,0.1265162247151098
02 Sparsity Simulation,0.9164955262571346,BERT,3.0,1007.0,0.6657651535170492,0.11685894333120428
02 Sparsity Simulation,0.9164955262571346,BERT,4.0,1007.0,0.6637926039582105,0.1192044223736288
02 Sparsity Simulation,0.9164955262571346,BERT,5.0,1007.0,0.6426168249235116,0.11994002885723952
02 Sparsity Simulation,0.9164955262571346,BERT,6.0,1007.0,0.6032133408195255,0.12657900150971912
02 Sparsity Simulation,0.9164955262571346,BERT,7.0,1007.0,0.6090072815888026,0.12134811220801688
02 Sparsity Simulation,0.9164955262571346,BERT,8.0,1007.0,0.6116167897051352,0.12859509102138092
02 Sparsity Simulation,0.9164955262571346,BERT,9.0,1007.0,0.6812043046888056,0.11622675354814348
02 Sparsity Simulation,0.8912509381337456,BERT,0.0,576.0,0.5330554549133764,0.14437661738050436
02 Sparsity Simulation,0.8912509381337456,BERT,1.0,576.0,0.5232659487468603,0.14167701597616678
02 Sparsity Simulation,0.8912509381337456,BERT,2.0,576.0,0.545312421336928,0.14070375142354033
02 Sparsity Simulation,0.8912509381337456,BERT,3.0,576.0,0.6332431021443778,0.12551683811967124
02 Sparsity Simulation,0.8912509381337456,BERT,4.0,576.0,0.5408459911861137,0.14575474685297807
02 Sparsity Simulation,0.8912509381337456,BERT,5.0,576.0,0.5357644804828465,0.14649315024310738
02 Sparsity Simulation,0.8912509381337456,BERT,6.0,576.0,0.5223444007655781,0.1478610854237494
02 Sparsity Simulation,0.8912509381337456,BERT,7.0,576.0,0.544700769920025,0.13893421579803947
02 Sparsity Simulation,0.8912509381337456,BERT,8.0,576.0,0.5405752599987985,0.1427548684419639
02 Sparsity Simulation,0.8912509381337456,BERT,9.0,576.0,0.5967126654574306,0.1357597371773561
02 Sparsity Simulation,0.9281306737867157,BERT,0.0,1296.0,0.6938202336589907,0.11104584436503888
02 Sparsity Simulation,0.9281306737867157,BERT,1.0,1296.0,0.6617746782986831,0.11511554289802148
02 Sparsity Simulation,0.9281306737867157,BERT,2.0,1296.0,0.6997490227504025,0.11103815582804387
02 Sparsity Simulation,0.9281306737867157,BERT,3.0,1296.0,0.7063026975588279,0.1097775604140976
02 Sparsity Simulation,0.9281306737867157,BERT,4.0,1296.0,0.705791922240514,0.10938063145269664
02 Sparsity Simulation,0.9281306737867157,BERT,5.0,1296.0,0.7050856084490641,0.1107144388326842
02 Sparsity Simulation,0.9281306737867157,BERT,6.0,1296.0,0.6925423394365181,0.1103844849617629
02 Sparsity Simulation,0.9281306737867157,BERT,7.0,1296.0,0.672710492935729,0.1141564772768946
02 Sparsity Simulation,0.9281306737867157,BERT,8.0,1296.0,0.6797998836627528,0.11715388960706645
02 Sparsity Simulation,0.9281306737867157,BERT,9.0,1296.0,0.6657309621713651,0.11842551365458386
02 Sparsity Simulation,0.9330329915368074,BERT,0.0,1440.0,0.6841302511249976,0.11389027408263575
02 Sparsity Simulation,0.9330329915368074,BERT,1.0,1440.0,0.6916856887383357,0.10904111387383908
02 Sparsity Simulation,0.9330329915368074,BERT,2.0,1440.0,0.7276998749013099,0.10373200778297097
02 Sparsity Simulation,0.9330329915368074,BERT,3.0,1440.0,0.7120391853438923,0.1075293243252502
02 Sparsity Simulation,0.9330329915368074,BERT,4.0,1440.0,0.7183597050605286,0.10698936357428043
02 Sparsity Simulation,0.9330329915368074,BERT,5.0,1440.0,0.7103118451729912,0.10869279036965757
02 Sparsity Simulation,0.9330329915368074,BERT,6.0,1440.0,0.6728228702718593,0.11620485657516585
02 Sparsity Simulation,0.9330329915368074,BERT,7.0,1440.0,0.6789126749321237,0.113989372241576
02 Sparsity Simulation,0.9330329915368074,BERT,8.0,1440.0,0.6887484107931563,0.11610556829269535
02 Sparsity Simulation,0.9330329915368074,BERT,9.0,1440.0,0.6823007082514251,0.1148730467355109
02 Sparsity Simulation,0.9374899801208518,BERT,0.0,1584.0,0.7014074155718387,0.10856834266578028
02 Sparsity Simulation,0.9374899801208518,BERT,1.0,1584.0,0.6998253111864206,0.10729634681129578
02 Sparsity Simulation,0.9374899801208518,BERT,2.0,1584.0,0.6624975687197757,0.11386293660210715
02 Sparsity Simulation,0.9374899801208518,BERT,3.0,1584.0,0.7205600930584335,0.10635487976678036
02 Sparsity Simulation,0.9374899801208518,BERT,4.0,1584.0,0.724150566202981,0.1045328102217737
02 Sparsity Simulation,0.9374899801208518,BERT,5.0,1584.0,0.7255432015718088,0.10443341392628462
02 Sparsity Simulation,0.9374899801208518,BERT,6.0,1584.0,0.7226928088114666,0.1041675833094346
02 Sparsity Simulation,0.9374899801208518,BERT,7.0,1584.0,0.6696266298172895,0.11395180926814287
02 Sparsity Simulation,0.9374899801208518,BERT,8.0,1584.0,0.7158694510818859,0.10486426702362993
02 Sparsity Simulation,0.9374899801208518,BERT,9.0,1584.0,0.7079303842910827,0.11010516633119782
02 Sparsity Simulation,0.9226808345905884,BERT,0.0,1152.0,0.6534777838191135,0.11743026587727022
02 Sparsity Simulation,0.9226808345905884,BERT,1.0,1152.0,0.672748310401499,0.11275303540543255
02 Sparsity Simulation,0.9226808345905884,BERT,2.0,1152.0,0.6328946297437454,0.12017650973313612
02 Sparsity Simulation,0.9226808345905884,BERT,3.0,1152.0,0.6619176784882271,0.11773983810529935
02 Sparsity Simulation,0.9226808345905884,BERT,4.0,1152.0,0.6601960231999869,0.11801803250966708
02 Sparsity Simulation,0.9226808345905884,BERT,5.0,1152.0,0.6620496842603728,0.11975708744698445
02 Sparsity Simulation,0.9226808345905884,BERT,6.0,1152.0,0.6348763262802802,0.1216314969603662
02 Sparsity Simulation,0.9226808345905884,BERT,7.0,1152.0,0.6066244886944812,0.12491836035283276
02 Sparsity Simulation,0.9226808345905884,BERT,8.0,1152.0,0.7093874046139925,0.11153189679758232
02 Sparsity Simulation,0.9226808345905884,BERT,9.0,1152.0,0.6707140377199082,0.11650322759866848
02 Sparsity Simulation,0.9453533511351614,BERT,0.0,1872.0,0.7264886640054322,0.10390774689473116
02 Sparsity Simulation,0.9453533511351614,BERT,1.0,1872.0,0.7285895644986832,0.10236345581650312
02 Sparsity Simulation,0.9453533511351614,BERT,2.0,1872.0,0.6881855976175401,0.1072088189025151
02 Sparsity Simulation,0.9453533511351614,BERT,3.0,1872.0,0.7837753979358272,0.0915497799181973
02 Sparsity Simulation,0.9453533511351614,BERT,4.0,1872.0,0.7331321101334785,0.1018897127872634
02 Sparsity Simulation,0.9453533511351614,BERT,5.0,1872.0,0.6915190426722863,0.11082269952921564
02 Sparsity Simulation,0.9453533511351614,BERT,6.0,1872.0,0.7375069684311176,0.1018149301932598
02 Sparsity Simulation,0.9453533511351614,BERT,7.0,1872.0,0.6780337350114642,0.11021318143117356
02 Sparsity Simulation,0.9453533511351614,BERT,8.0,1872.0,0.7195494150351938,0.10351532885923548
02 Sparsity Simulation,0.9453533511351614,BERT,9.0,1872.0,0.7084687968184201,0.10850022823223776
02 Sparsity Simulation,0.9488392211410617,BERT,0.0,2015.0,0.7128697658889578,0.10727590340550516
02 Sparsity Simulation,0.9488392211410617,BERT,1.0,2015.0,0.6930569243964664,0.10886651626304177
02 Sparsity Simulation,0.9488392211410617,BERT,2.0,2015.0,0.7382469453695244,0.1000992795179031
02 Sparsity Simulation,0.9488392211410617,BERT,3.0,2015.0,0.7613890501704794,0.09691057691265433
02 Sparsity Simulation,0.9488392211410617,BERT,4.0,2015.0,0.7386645617881102,0.10001463831271802
02 Sparsity Simulation,0.9488392211410617,BERT,5.0,2015.0,0.7523200627586114,0.09837282855089344
02 Sparsity Simulation,0.9488392211410617,BERT,6.0,2015.0,0.7160421808714648,0.10483686133571296
02 Sparsity Simulation,0.9488392211410617,BERT,7.0,2015.0,0.7007168356966673,0.1057196305209511
02 Sparsity Simulation,0.9488392211410617,BERT,8.0,2015.0,0.7662599771064755,0.09503783849707896
02 Sparsity Simulation,0.9488392211410617,BERT,9.0,2015.0,0.7561945002019698,0.0974689765349884
